FUND ID,TRANSACTION DATE,TRANSACTION TYPE,TRANSACTION AMOUNT
2051,2016-08-15T00:00:00Z,Capital Call,-1954037.1571999043
2051,2017-08-15T00:00:00Z,Capital Call,-686258.4707155825
2051,2019-08-15T00:00:00Z,Capital Call,-1633183.1973227826
2051,2016-11-15T00:00:00Z,Capital Call,-31114.544118940834
2051,2017-11-15T00:00:00Z,Capital Call,-299636.40158157796
2051,2017-05-16T00:00:00Z,Capital Call,-2149229.9346089363
2051,2018-05-16T00:00:00Z,Capital Call,-1393705.7686248794
2051,2016-06-30T00:00:00Z,Capital Call,-427798.52748401463
2051,2019-08-15T00:00:00Z,Distribution,181444.48746225657
2051,2018-11-15T00:00:00Z,Distribution,3062986.8565127077
2051,2016-06-30T00:00:00Z,Value,398624.89290681185
2051,2017-06-30T00:00:00Z,Value,4919680.698892137
2051,2018-06-30T00:00:00Z,Value,9415147.22715465
2051,2019-06-30T00:00:00Z,Value,9216291.272922583
2051,2016-09-30T00:00:00Z,Value,2489600.75002417
2051,2017-09-30T00:00:00Z,Value,5999990.588845704
2051,2018-09-30T00:00:00Z,Value,11332553.21062693
2051,2019-09-30T00:00:00Z,Value,11060779.916369572
2051,2017-03-31T00:00:00Z,Value,2468619.3311586007
2051,2018-03-31T00:00:00Z,Value,7513039.553327051
2051,2019-03-31T00:00:00Z,Value,8454382.251664728
2051,2016-12-31T00:00:00Z,Value,2542760.553561546
2051,2017-12-31T00:00:00Z,Value,7368395.865513535
2051,2018-12-31T00:00:00Z,Value,8151290.527584811
827,2013-02-14T00:00:00Z,Capital Call,-363657.2745703161
827,2014-02-14T00:00:00Z,Capital Call,-396639.415480569
827,2015-02-14T00:00:00Z,Capital Call,-629016.1219192669
827,2016-02-15T00:00:00Z,Capital Call,-121697.50389754772
827,2013-08-15T00:00:00Z,Capital Call,-303006.4191557467
827,2014-08-15T00:00:00Z,Capital Call,-228828.4603504464
827,2015-08-15T00:00:00Z,Capital Call,-632811.0296338797
827,2016-08-15T00:00:00Z,Capital Call,-235426.4940842986
827,2019-08-15T00:00:00Z,Capital Call,-1187797.7144567755
827,2013-11-15T00:00:00Z,Capital Call,-200380.64817711708
827,2014-11-15T00:00:00Z,Capital Call,-465527.49082855886
827,2015-11-15T00:00:00Z,Capital Call,-600732.2233133018
827,2016-11-15T00:00:00Z,Capital Call,-561645.8248570561
827,2017-11-15T00:00:00Z,Capital Call,-444277.1223122254
827,2019-11-15T00:00:00Z,Capital Call,-38051.90948382452
827,2020-11-15T00:00:00Z,Capital Call,-287348.32007586956
827,2013-05-16T00:00:00Z,Capital Call,-405202.03120652586
827,2014-05-16T00:00:00Z,Capital Call,-823253.282994032
827,2015-05-16T00:00:00Z,Capital Call,-696196.118960157
827,2016-05-16T00:00:00Z,Capital Call,-412491.19795411825
827,2017-05-16T00:00:00Z,Capital Call,-479385.5372875929
827,2012-12-31T00:00:00Z,Capital Call,-894507.4152827263
827,2019-08-15T00:00:00Z,Distribution,1139011.627119482
827,2018-11-15T00:00:00Z,Distribution,4101808.4539890853
827,2019-11-15T00:00:00Z,Distribution,-59453.15335518822
827,2018-05-16T00:00:00Z,Distribution,871157.6896012252
827,2020-05-16T00:00:00Z,Distribution,4570305.868614122
827,2013-06-30T00:00:00Z,Value,1114613.3498314419
827,2014-06-30T00:00:00Z,Value,3047717.284891265
827,2015-06-30T00:00:00Z,Value,8355920.1861856105
827,2016-06-30T00:00:00Z,Value,9482544.936182339
827,2017-06-30T00:00:00Z,Value,13529274.214073032
827,2018-06-30T00:00:00Z,Value,15509728.570506139
827,2019-06-30T00:00:00Z,Value,16746143.70588182
827,2020-06-30T00:00:00Z,Value,12681631.845580526
827,2013-09-30T00:00:00Z,Value,1354664.485131555
827,2014-09-30T00:00:00Z,Value,3328934.766112734
827,2015-09-30T00:00:00Z,Value,8564170.141910536
827,2016-09-30T00:00:00Z,Value,10616979.408281391
827,2017-09-30T00:00:00Z,Value,13962661.685650194
827,2018-09-30T00:00:00Z,Value,18276260.57704686
827,2019-09-30T00:00:00Z,Value,15227051.461121416
827,2020-09-30T00:00:00Z,Value,13131562.921134345
827,2013-03-31T00:00:00Z,Value,783689.7636155616
827,2014-03-31T00:00:00Z,Value,1915262.9376924753
827,2015-03-31T00:00:00Z,Value,6103495.632779202
827,2016-03-31T00:00:00Z,Value,9193423.213437958
827,2017-03-31T00:00:00Z,Value,11687916.423153684
827,2018-03-31T00:00:00Z,Value,14567415.899948733
827,2019-03-31T00:00:00Z,Value,13810088.27060019
827,2020-03-31T00:00:00Z,Value,16315986.905019397
827,2012-12-31T00:00:00Z,Value,525843.5497951932
827,2013-12-31T00:00:00Z,Value,1579643.9514168496
827,2014-12-31T00:00:00Z,Value,5423224.405788833
827,2015-12-31T00:00:00Z,Value,9397997.635971941
827,2016-12-31T00:00:00Z,Value,11883714.736805586
827,2017-12-31T00:00:00Z,Value,14346701.427212248
827,2018-12-31T00:00:00Z,Value,14360638.957710983
827,2019-12-31T00:00:00Z,Value,17983654.08055622
827,2020-12-31T00:00:00Z,Value,15691909.612763785
1767,2017-02-14T00:00:00Z,Capital Call,-72201.25000048429
1767,2018-02-14T00:00:00Z,Capital Call,-778589.7068817168
1767,2016-02-15T00:00:00Z,Capital Call,-541315.9101828933
1767,2020-02-15T00:00:00Z,Capital Call,-1130889.4363287836
1767,2016-08-15T00:00:00Z,Capital Call,-144564.85692486167
1767,2017-08-15T00:00:00Z,Capital Call,-295997.02821057296
1767,2018-08-15T00:00:00Z,Capital Call,-471029.9928525462
1767,2020-08-15T00:00:00Z,Capital Call,-102734.68733392657
1767,2016-11-15T00:00:00Z,Capital Call,-267500.0202126801
1767,2017-11-15T00:00:00Z,Capital Call,-300913.11595104635
1767,2018-11-15T00:00:00Z,Capital Call,-930867.1245574951
1767,2019-11-15T00:00:00Z,Capital Call,-221171.57039437443
1767,2020-11-15T00:00:00Z,Capital Call,-352614.1819231212
